Title,Year,Running time,Country,Language,Release date,Box office,Genre,Imdb Rating
The African Lion,1955,75,USA,English,1955/9/14,2100000,Documentary,7.2
The Littlest Outlaw,1955,73,USA,Spanish,1955/12/22,1600000,Drama,6.2
The Great Locomotive Chase,1956,85,USA,English,1956/6/8,1700000,Action,6.9
Westward Ho the Wagons!,1956,90,USA,English,1956/12/20,2750000,Western,5.9
Perri,1957,75,USA,English,1957/8/28,1750000,Fantasy,6.8
Old Yeller,1957,83,USA,English,1957/12/25,6250000,Drama,7.3
White Wilderness,1958,72,USA,English,1958/8/12,1800000,Documentary,5.3
Tonka,1958,97,USA,English,1958/12/25,2500000,Drama,6.4
Darby O'Gill and the Little People,1959,93,USA,English,1959/6/24,2600000,Fantasy,7.2
Third Man on the Mountain,1959,105,USA,English,1959/11/10,1700000,Drama,7.1
Toby Tyler or 10 Weeks with a Circus,1960,95,USA,English,1960/1/21,3100000,Action,6.9
Pollyanna,1960,134,USA,English,1960/5/19,3750000,Comedy,7.4
Jungle Cat,1960,69,USA,English,1960/6/7,2300000,Documentary,7.3
One Hundred and One Dalmatians,1961,79,USA,English,1961/1/25,303000000,Comedy,7.3
The AbsentMinded Professor,1961,97,USA,English,1961/3/16,25400000,Comedy,6.7
Babes in Toyland,1961,105,USA,English,1961/12/14,4600000,Comedy,6.2
Moon Pilot,1962,98,USA,English,1962/4/5,3500000,Comedy,5.5
Bon Voyage!,1962,130,USA,English,1962/5/17,5000000,Comedy,5.7
In Search of the Castaways,1962,98,USA,English,1962/11/14,21745500,Fantasy,6.6
Son of Flubber,1963,100,USA,English,1963/1/16,22100000,Comedy,6.1
Miracle of the White Stallions,1963,118,USA,English,1963/3/29,2550000,Drama,6.6
Savage Sam,1963,103,USA,English,1963/6/1,3000000,Drama,6.2
Summer Magic,1963,110,USA,English,1963/7/7,4350000,Musical,7.1
The Incredible Journey,1963,80,USA,English,1963/11/20,4200000,Drama,7.1
The Sword in the Stone,1963,79,USA,English,1963/12/25,22200000,Comedy,7.2
A Tiger Walks,1964,91,USA,English,1964/3/12,1600000,Drama,6.4
The Misadventures of Merlin Jones,1964,91,USA,English,1964/2/11,4000000,Comedy,6.4
The Three Lives of Thomasina,1963,97,USA,English,1963/12/11,2250000,Drama,7.2
The MoonSpinners,1964,118,USA,English,1964/7/2,3500000,Family,6.7
Mary Poppins,1964,139,USA,English,1964/8/27,103100000,Comedy,7.8
Those Calloways,1964,131,USA,English,1964/11/10,3500000,Drama,6.6
Emil and the Detectives,1964,92,USA,English,1964/12/18,1275000,Comedy,6.2
The Monkey's Uncle,1965,87,USA,English,1965/8/18,4000000,Comedy,6
That Darn Cat!,1965,116,USA,English,1965/12/2,28068222,Comedy,6.8
The Ugly Dachshund,1966,93,USA,English,1966/2/4,6200000,Comedy,6.7
"Lt. Robin Crusoe, U.S.N.",1966,110,USA,English,1966/6/25,22565634,Comedy,6
